,places/Abandoned_mine_shaft.txt,places/Biome.txt,places/biomes.txt,places/Cavern.txt,places/Desert_temple.txt,places/Dungeon.txt,places/dungeons.txt,places/Generated_Structures.txt,places/huge-mushroom.txt,places/Huge_mushroom.txt,places/Huge_Mushrooms.txt,places/Jungle_temple.txt,places/Moss_Stone_Boulder.txt,places/Nether_fortress.txt,places/Nether_Portal.txt,places/Obsidian_pillar.txt,places/Ocean_monument.txt,places/Ocean_monument_structure.txt,places/Stronghold.txt,places/The_End.txt,places/The_Nether.txt,places/The_Overworld.txt,places/The_Void.txt,places/Tree.txt,places/Village.txt,places/Village_structures.txt
surfac,0.003619361534194835,0.0,0.0011498332671810306,0.01121656868704254,0.0,0.009651630757852893,0.004586454936131694,0.0032056458735643684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00210233541260162,0.0,0.0,0.004356435159699558,0.0,0.0,0.0023220205225454103,0.0
mesa,0.00994080597701643,0.0183308925117509,0.0015790449927390719,0.0009627192875760592,0.005269824855285817,0.0,0.0,0.0009433403227650386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biom,0.0013928968944140808,0.027825507227177682,0.027878051922857992,0.0008093722233132443,0.004430419037654426,0.0,0.0005883596482005078,0.004494120245960025,0.002443354020766228,0.002744214777054607,0.0054276720313699975,0.0024352634445385254,0.010815434709568156,0.0,0.0,0.0,0.0024846268927386306,0.0,0.0,0.0,0.0009223865722206957,0.0016765567482917203,0.0,0.005994718085541953,0.0035744814592983455,0.0
compos,0.00325833812584512,0.0,0.0,0.0,0.0,0.0,0.0,0.002473619741834972,0.0,0.003209706213519073,0.0,0.005696697120682858,0.0,0.0,0.0,0.009249475970140985,0.0,0.0,0.0,0.0010672472273239597,0.000719231827109625,0.0,0.0,0.0017101416803640389,0.0031356060700720957,0.024577179006374617
dark,0.003619361534194835,0.002224706507630818,0.0011498332671810306,0.002103106628820476,0.0,0.0,0.0,0.0006869241157637932,0.0,0.0,0.003525872490876149,0.0,0.0,0.0,0.0,0.0,0.0032280792061737716,0.00835237277121885,0.0,0.0,0.0,0.0,0.0,0.006458725473346488,0.0,0.0
oak,0.014911208965524645,0.0,0.0015790449927390719,0.0,0.0,0.0,0.0,0.0009433403227650386,0.0,0.0,0.004842016195447117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0360003422817756,0.0031887883085447597,0.0
fenc,0.014911208965524645,0.0,0.0,0.0019254385751521184,0.0,0.0,0.0,0.0015722338712750644,0.0,0.0,0.0,0.0,0.0,0.008013351993686526,0.0,0.0,0.0,0.0,0.0014435493828010655,0.0,0.0,0.0,0.0,0.0,0.0015943941542723799,0.0
rather,0.003619361534194835,0.002224706507630818,0.0,0.002804142171760635,0.0038373953615559687,0.0,0.0,0.0004579494105091955,0.0,0.0,0.0,0.0,0.0,0.0014587960992785288,0.0004576204238637147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003799250278439111,0.0011610102612727052,0.0
consist,0.011714998306567904,0.0,0.0009304330784999779,0.0,0.0031051802740300464,0.0,0.0,0.00166755547426344,0.0,0.0028850368963935884,0.0,0.015361388507949967,0.0,0.0,0.0,0.0,0.0026121280007887896,0.004055191721504274,0.0017011878729009497,0.0,0.0012929596793202034,0.0,0.0,0.0015371568354542377,0.0,0.0
start,0.0020835088519669392,0.0019210000125236505,0.001985726848084014,0.0004035556397059956,0.0,0.0,0.0008800741390708351,0.00013181076849251664,0.0,0.0,0.0,0.0,0.0,0.0,0.0005268643073939386,0.0,0.0,0.0009616194701385874,0.0012102229635187502,0.0006824396239693201,0.0,0.0016718733644962673,0.0013648792479386402,0.0006561188909573821,0.0006683430582251177,0.0
